time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl
46,17,186,8704,-0.001121689099818468,-1.0069852154701948,0.015625,0.2,-0.20654559135437012,64,-0.0324418880045414,0.0003,1.6309050970164662e-05,0.0013338731
49,18,187,9216,-0.0060483269626274705,-0.9956419058144093,0.03466796875,0.2,0.14570951461791992,68,-0.008731277659535408,0.0003,5.6557769653409196e-05,0.005719931
51,19,187,9728,-0.000985837308689952,-0.989394050091505,0.0,0.2,-1.5515801906585693,72,-0.007797271944582462,0.0003,5.587237941639955e-06,0.0014734656
54,20,188,10240,-0.00033834431087598205,-0.961365994066,0.0,0.2,-0.9009240865707397,76,-0.01071943249553442,0.0003,7.922569366769494e-06,0.0012834633
56,21,189,10752,-0.0019803350733127445,-0.9629100859165192,0.037109375,0.2,-1.573436975479126,80,-0.001364564523100853,0.0003,4.439282259127708e-06,0.004750469
59,22,189,11264,-0.006678636651486158,-0.9719471912831068,0.09228515625,0.2,-1.239184856414795,84,-0.012835225090384483,0.0003,4.60959735448796e-06,0.008699222
62,23,189,11776,-0.002142063807696104,-1.0048373956233263,0.00634765625,0.2,-3.4213457107543945,88,0.0009304973646067083,0.0003,7.32657634472389e-06,0.0038974076
64,24,190,12288,-0.0007185496506281197,-1.049155492335558,0.00537109375,0.2,-3.3434066772460938,92,-0.01835455186665058,0.0003,3.249869190646848e-06,0.0011475082
67,25,190,12800,-0.0017903246189234778,-1.1083767898380756,0.009765625,0.2,-4.158588886260986,96,-0.005985053721815348,0.0003,2.072173115763576e-06,0.0061584353
69,26,190,13312,-0.0031226104765664786,-1.1874450370669365,0.04931640625,0.2,-5.804180145263672,100,-0.01704026572406292,0.0003,5.5863615955331625e-06,0.006803322
72,27,191,13824,-0.00804087583674118,-1.2186726592481136,0.06103515625,0.2,-3.0064239501953125,104,-0.04515298083424568,0.0003,1.0195601101159468e-06,0.008248813
74,28,191,14336,-0.004331965319579467,-1.1664451770484447,0.01513671875,0.2,-1.8658854961395264,108,-0.03913437947630882,0.0003,2.860488891087698e-06,0.005608917
77,29,191,14848,-0.0002789587015286088,-1.1635859943926334,0.0,0.2,-4.112339019775391,112,-0.017826011404395103,0.0003,6.05679650433899e-07,0.00087387825
79,30,192,15360,-0.0040505827346351,-1.1856010854244232,0.04638671875,0.2,-4.0497283935546875,116,-0.020345207303762436,0.0003,4.998498708275179e-07,0.0033878617
82,31,192,15872,-0.009879067307338119,-1.136009894311428,0.08203125,0.2,-0.5880676507949829,120,-0.026143493130803108,0.0003,1.6468251278212165e-06,0.008195927
85,32,192,16384,-0.004615698067937046,-1.1954402886331081,0.0458984375,0.2,-9.859757423400879,124,-0.0217493437230587,0.0003,2.2139695898815148e-07,0.0041299816
87,33,192,16896,-0.00726362009299919,-1.1054570488631725,0.08203125,0.2,-4.219248294830322,128,-0.04434802010655403,0.0003,3.527976759620799e-07,0.008163539
90,34,192,17408,-0.005230222275713459,-1.132051445543766,0.04150390625,0.2,-8.56122875213623,132,-0.014316562563180923,0.0003,2.0545547374517525e-07,0.0052903458
92,35,192,17920,-0.0011836764751933515,-1.1104755885899067,0.0,0.2,-15.851552963256836,136,-0.008137384429574013,0.0003,1.3449397506803962e-07,0.0025626859
95,36,193,18432,-0.005169241660041735,-1.1492008976638317,0.0546875,0.2,-15.685855865478516,140,-0.014294946566224098,0.0003,1.1612917782954923e-07,0.0032564471
97,37,193,18944,-0.006745141989085823,-1.1335421353578568,0.06201171875,0.2,-0.5103086233139038,144,-0.005980255547910929,0.0003,8.724643230095808e-07,0.006595226
